Bolivia - Cases: 97, Deaths: 4, Recovered: 0
Kyrgyzstan - Cases: 94, Deaths: 0, Recovered: 3
Martinique - Cases: 93, Deaths: 1, Recovered: 0
Montenegro - Cases: 91, Deaths: 1, Recovered: 0
Trinidad and Tobago - Cases: 82, Deaths: 3, Recovered: 1
Mayotte - Cases: 82, Deaths: 0, Recovered: 10
DRC - Cases: 81, Deaths: 8, Recovered: 2
Rwanda - Cases: 70, Deaths: 0, Recovered: 0
Gibraltar - Cases: 69, Deaths: 0, Recovered: 34
Paraguay - Cases: 64, Deaths: 3, Recovered: 1
Liechtenstein - Cases: 62, Deaths: 0, Recovered: 0
Kenya - Cases: 50, Deaths: 1, Recovered: 1
Aruba - Cases: 50, Deaths: 0, Recovered: 1
Bangladesh - Cases: 49, Deaths: 5, Recovered: 19
Monaco - Cases: 49, Deaths: 1, Recovered: 1
Isle of Man - Cases: 49, Deaths: 0, Recovered: 0
French Guiana - Cases: 43, Deaths: 0, Recovered: 6
Madagascar - Cases: 43, Deaths: 0, Recovered: 0
Macao - Cases: 38, Deaths: 0, Recovered: 10
Guatemala - Cases: 36, Deaths: 1, Recovered: 10
Jamaica - Cases: 36, Deaths: 1, Recovered: 2
French Polynesia - Cases: 35, Deaths: 0, Recovered: 0
Zambia - Cases: 35, Deaths: 0, Recovered: 0
Barbados - Cases: 33, Deaths: 0, Recovered: 0
Uganda - Cases: 33, Deaths: 0, Recovered: 0
Togo - Cases: 30, Deaths: 1, Recovered: 1
El Salvador - Cases: 30, Deaths: 0, Recovered: 0
Mali - Cases: 25, Deaths: 2, Recovered: 0
Ethiopia - Cases: 23, Deaths: 0, Recovered: 4
Niger - Cases: 22, Deaths: 3, Recovered: 0
Bermuda - Cases: 22, Deaths: 0, Recovered: 2
Guinea - Cases: 22, Deaths: 0, Recovered: 0
Congo - Cases: 19, Deaths: 0, Recovered: 0
Tanzania - Cases: 19, Deaths: 0, Recovered: 1
Djibouti - Cases: 18, Deaths: 0, Recovered: 0
Maldives - Cases: 17, Deaths: 0, Recovered: 13
Saint Martin - Cases: 15, Deaths: 1, Recovered: 2
Haiti - Cases: 15, Deaths: 0, Recovered: 1
New Caledonia - Cases: 15, Deaths: 0, Recovered: 0
Bahamas - Cases: 14, Deaths: 0, Recovered: 1
Myanmar - Cases: 14, Deaths: 0, Recovered: 0
Cayman Islands - Cases: 12, Deaths: 1, Recovered: 0
Equatorial Guinea - Cases: 12, Deaths: 0, Recovered: 0
Eritrea - Cases: 12, Deaths: 0, Recovered: 0
Mongolia - Cases: 12, Deaths: 0, Recovered: 2
Curaçao - Cases: 11, Deaths: 1, Recovered: 2
Dominica - Cases: 11, Deaths: 0, Recovered: 0
Namibia - Cases: 11, Deaths: 0, Recovered: 2
Greenland - Cases: 10, Deaths: 0, Recovered: 2
Syria - Cases: 9, Deaths: 1, Recovered: 0
Grenada - Cases: 9, Deaths: 0, Recovered: 0
Saint Lucia - Cases: 9, Deaths: 0, Recovered: 1
Eswatini - Cases: 9, Deaths: 0, Recovered: 0
Guyana - Cases: 8, Deaths: 1, Recovered: 0
Guinea-Bissau - Cases: 8, Deaths: 0, Recovered: 0
Laos - Cases: 8, Deaths: 0, Recovered: 0
Libya - Cases: 8, Deaths: 0, Recovered: 0
Mozambique - Cases: 8, Deaths: 0, Recovered: 0
Seychelles - Cases: 8, Deaths: 0, Recovered: 0
Suriname - Cases: 8, Deaths: 0, Recovered: 0
Angola - Cases: 7, Deaths: 2, Recovered: 0
Gabon - Cases: 7, Deaths: 1, Recovered: 0
Zimbabwe - Cases: 7, Deaths: 1, Recovered: 0
Antigua and Barbuda - Cases: 7, Deaths: 0, Recovered: 0
Saint Kitts and Nevis - Cases: 7, Deaths: 0, Recovered: 0
Sudan - Cases: 6, Deaths: 2, Recovered: 0
Cabo Verde - Cases: 6, Deaths: 1, Recovered: 0
Benin - Cases: 6, Deaths: 0, Recovered: 0
Vatican City - Cases: 6, Deaths: 0, Recovered: 0
St. Barth - Cases: 6, Deaths: 0, Recovered: 1
Sint Maarten - Cases: 6, Deaths: 0, Recovered: 0
Nepal - Cases: 5, Deaths: 0, Recovered: 1
Chad - Cases: 5, Deaths: 0, Recovered: 0
Fiji - Cases: 5, Deaths: 0, Recovered: 0
Mauritania - Cases: 5, Deaths: 0, Recovered: 2
Montserrat - Cases: 5, Deaths: 0, Recovered: 0
Turks and Caicos - Cases: 5, Deaths: 0, Recovered: 0
Gambia - Cases: 4, Deaths: 1, Recovered: 0
Nicaragua - Cases: 4, Deaths: 1, Recovered: 0
Bhutan - Cases: 4, Deaths: 0, Recovered: 0
Belize - Cases: 3, Deaths: 0, Recovered: 0
Botswana - Cases: 3, Deaths: 0, Recovered: 0
CAR - Cases: 3, Deaths: 0, Recovered: 0
Liberia - Cases: 3, Deaths: 0, Recovered: 0
Somalia - Cases: 3, Deaths: 0, Recovered: 0
MS Zaandam - Cases: 2, Deaths: 0, Recovered: 0
Anguilla - Cases: 2, Deaths: 0, Recovered: 0
British Virgin Islands - Cases: 2, Deaths: 0, Recovered: 0
Papua New Guinea - Cases: 1, Deaths: 0, Recovered: 0
St. Vincent Grenadines - Cases: 1, Deaths: 0, Recovered: 1
Timor-Leste - Cases: 1, Deaths: 0, Recovered: 0
China - Cases: 81470, Deaths: 3304, Recovered: 75700
Total: - Cases: 776179, Deaths: 37128, Recovered: 164630
