Country,Lat,Lon
Tunisia,36.81897,10.16579
Uganda,0.31628,32.582190000000004
Zambia,-15.40669,28.287129999999998
Zimbabwe,-17.824858,31.053028
Jamaica,17.9970207,-76.7935791
Djibouti,11.58901,43.14503
Republic of the Congo,-4.26613,15.283179999999998
Democratic Republic of the Congo,-4.32758,15.31357
Gabon,0.39241,9.453560000000001
Benin,6.49646,2.60359
Burkina Faso,12.36566,-1.53388
Saudi Arabia,24.68773,46.72185
Afghanistan,34.52813,69.17233
Bangladesh,23.7104,90.40744000000001
Bhutan,27.472792,89.639286
Brunei,4.94029,114.94806000000001
Indonesia,-6.21462,106.84513000000001
Iran,35.69439000000001,51.42151
Iraq,33.340579999999996,44.40088
Kuwait,29.36972,47.97833
Lebanon,33.888940000000005,35.49442
Malaysia,3.1412,101.68653
Maldives,4.1748,73.50888
Myanmar,19.745,96.12971999999999
Oman,23.613870000000002,58.5922
Pakistan,33.72148,73.04329
Qatar,25.279320000000002,51.52245
Singapore,1.28967,103.85007
Sri Lanka,6.882969999999999,79.90708000000002
Syria,33.5102,36.29128
Turkmenistan,37.95,58.38333000000001
United Arab Emirates,24.46667,54.36666999999999
Uzbekistan,41.26465,69.21627
Yemen,15.369445,44.191006
Cook Islands,-21.20778,-159.775
Kiribati,1.3278,172.97696000000005
Papua New Guinea,-9.44314,147.17972
Samoa,-13.833329999999998,-171.76666
Solomon Islands,-9.43333,159.95
Tonga,-21.13938,-175.2018
Tuvalu,-8.52425,179.19416999999999
Central African Republic,4.361219999999999,18.55496
Somaliland,9.56,44.065
Cambodia,11.56245,104.91601000000001
